step,T_source_out_C,T_return_C,COP,Q_out_kW,P_el_kW,Q_geo_kW,model,T_tank_C,HP_on,Q_space_req_kW,Q_dhw_req_kW,Q_space_served_kW,Q_dhw_served_kW,Q_unmet_kW,flow_kgps,dP_kPa,P_pump_kW
77,-19804964640541490580291584.0000,-19804964640541490580291584.0000,0.0000,0.0000,0.0000,161084650103997829933432832.0000,CP,30.0000,1,140.2000,0.3000,0.0000,0.0000,140.5000,11.4933,1172.0108,19.3012
78,89629130423113858561343488.0000,89629130423113858561343488.0000,8.0000,110.2336,13.7792,-729991029847932774933069824.0000,FB,30.0000,1,137.7200,3.3000,106.7336,3.3000,30.9864,11.5211,1177.1215,19.4321
79,-297853675795521500746874880.0000,-297853675795521500746874880.0000,0.0000,0.0000,0.0000,2430831687108398883805331456.0000,CP,30.0000,1,134.8400,3.3000,0.0000,0.0000,138.1400,11.3675,1148.9429,18.7141
80,867653088855713192230256640.0000,867653088855713192230256640.0000,8.0000,105.6613,13.2077,-7100672452559676599183605760.0000,FB,30.0000,1,131.7600,0.3000,105.1613,0.3000,26.5987,11.0432,1090.4731,17.2551
81,-2268540982129524376464261120.0000,-2268540982129524376464261120.0000,0.0000,0.0000,0.0000,18575894004089590599739506688.0000,CP,30.0000,1,128.6400,0.3000,0.0000,0.0000,128.9400,10.8768,1061.0069,16.5358
82,5483171189820036295149223936.0000,5483171189820036295149223936.0000,8.0000,102.5996,12.8249,-44945651420618681367685758976.0000,FB,30.0000,1,125.7600,0.3000,102.0996,0.3000,23.6604,10.7232,1034.1322,15.8894
83,-12331534676512485400060624896.0000,-12331534676512485400060624896.0000,0.0000,0.0000,0.0000,101142717567628094990423425024.0000,CP,30.0000,1,123.2800,0.3000,0.0000,0.0000,123.5800,10.5909,1011.2406,15.3460
84,25712083142521105115846279168.0000,25712083142521105115846279168.0000,8.0000,100.3747,12.5468,-210941407045196405107188563968.0000,FB,30.0000,1,121.4000,0.3000,99.8747,0.3000,21.5253,10.4907,994.0420,14.9422
85,-49070320798215363556592844800.0000,-49070320798215363556592844800.0000,0.0000,0.0000,0.0000,402465902187833773207515561984.0000,CP,30.0000,1,120.2000,0.3000,0.0000,0.0000,120.5000,10.4267,983.1341,14.6881
86,83002550440456700303088025600.0000,83002550440456700303088025600.0000,8.0000,99.5582,12.4448,-680065425361730345153727561728.0000,FB,30.0000,1,119.8000,0.3000,99.0582,0.3000,20.7418,10.4053,979.5102,14.6040
87,-113867621288882733272358977536.0000,-113867621288882733272358977536.0000,0.0000,0.0000,0.0000,930462971382475429160473853952.0000,CP,30.0000,1,120.2400,0.3000,0.0000,0.0000,120.5400,10.4288,983.4968,14.6965
88,82225370463465727543323131904.0000,82225370463465727543323131904.0000,8.0000,100.3951,12.5494,-663630806523858696002867298304.0000,FB,30.0000,1,121.4400,0.3000,99.8951,0.3000,21.5449,10.4928,994.4066,14.9507
89,196202377460175300257153810432.0000,196202377460175300257153810432.0000,8.0000,101.3749,12.6719,-1634523279271334118440011038720.0000,FB,30.0000,1,123.3600,0.3000,100.8749,0.3000,22.4851,10.5952,1011.9754,15.3634
90,-1215612572608394282735272722432.0000,-1215612572608394282735272722432.0000,0.0000,0.0000,0.0000,10013783833869417926850798157824.0000,CP,30.0000,1,125.8400,0.3000,0.0000,0.0000,126.1400,10.7275,1034.8745,15.9071
91,4132100504214657319250857820160.0000,4132100504214657319250857820160.0000,8.0000,105.6613,13.2077,-33875454101596512475646875664384.0000,FB,30.0000,1,128.7600,3.3000,102.1613,3.3000,26.5987,11.0432,1090.4731,17.2551
92,-11786895785538397380938238525440.0000,-11786895785538397380938238525440.0000,0.0000,0.0000,0.0000,96485533336654489862505406398464.0000,CP,30.0000,1,131.8400,3.3000,0.0000,0.0000,135.1400,11.2075,1119.9198,17.9846
93,30802742086285677968227982901248.0000,30802742086285677968227982901248.0000,8.0000,107.2943,13.4118,-252082353657407728094178464235520.0000,FB,30.0000,1,134.9600,0.3000,106.7943,0.3000,28.1657,11.2139,1121.0742,18.0134
94,-74382913736710116166469337219072.0000,-74382913736710116166469337219072.0000,0.0000,0.0000,0.0000,607477437722498093903690229350400.0000,CP,30.0000,1,137.8800,0.3000,0.0000,0.0000,138.1800,11.3696,1149.3322,18.7240
95,170737969810189994289388071157760.0000,170737969810189994289388071157760.0000,8.0000,110.0499,13.7562,-1393008724865506990947744094355456.0000,FB,30.0000,1,140.3600,0.3000,109.5499,0.3000,30.8101,11.5019,1173.5822,19.3414
96,-376008893043391884526864023158784.0000,-376008893043391884526864023158784.0000,0.0000,0.0000,0.0000,3064750425979533735946718434820096.0000,CP,30.0000,1,142.2800,0.3000,0.0000,0.0000,142.5800,11.6043,1192.5139,19.8284
97,797035245021810936274064408313856.0000,797035245021810936274064408313856.0000,8.0000,111.6420,13.9552,-6491735200588247646226025776414720.0000,FB,30.0000,1,143.4800,0.3000,111.1420,0.3000,32.3380,11.6683,1204.4160,20.1368
98,-1624972361345765191316246687121408.0000,-1624972361345765191316246687121408.0000,0.0000,0.0000,0.0000,13226813479216778776247194466910208.0000,CP,30.0000,1,143.9200,0.3000,0.0000,0.0000,144.2200,11.6917,1208.7935,20.2506
99,3170665821532512627995438200389632.0000,3170665821532512627995438200389632.0000,8.0000,111.6624,13.9578,-25793888215997853489672270905344000.0000,FB,30.0000,1,143.5200,0.3000,111.1624,0.3000,32.3576,11.6704,1204.8136,20.1471
100,-5852356474272670274957164731695104.0000,-5852356474272670274957164731695104.0000,0.0000,0.0000,0.0000,47575978724188832723683276631310336.0000,CP,30.0000,1,142.3200,0.3000,0.0000,0.0000,142.6200,11.6064,1192.9098,19.8386
101,9972438779223061503716793849479168.0000,9972438779223061503716793849479168.0000,8.0000,110.0907,13.7613,-80965371994613863304040795126890496.0000,FB,30.0000,1,140.4400,0.3000,109.5907,0.3000,30.8493,11.5061,1174.3683,19.3616
102,-14748773707254704216692256785039360.0000,-14748773707254704216692256785039360.0000,0.0000,0.0000,0.0000,119178074298313189960755121137647616.0000,CP,30.0000,1,137.9600,3.3000,0.0000,0.0000,141.2600,11.5339,1179.4836,19.4928
103,16157360107934233160476267366055936.0000,16157360107934233160476267366055936.0000,8.0000,108.8660,13.6082,-129350004649493913026200863894405120.0000,FB,30.0000,1,135.0400,3.3000,105.3660,3.3000,29.6740,11.3781,1150.8898,18.7634
104,1643336738761351007295359814729728.0000,1643336738761351007295359814729728.0000,8.0000,105.7634,13.2204,-19896409180167366075154989573996544.0000,FB,30.0000,1,131.9600,0.3000,105.2634,0.3000,26.6966,11.0539,1092.3744,17.3019
105,-85008913615668255190911511775150080.0000,-85008913615668255190911511775150080.0000,0.0000,0.0000,0.0000,711663297386284293109306259597688832.0000,CP,30.0000,1,128.8800,0.3000,0.0000,0.0000,129.1800,10.8896,1063.2606,16.5905
106,354070917278211798037554697336782848.0000,354070917278211798037554697336782848.0000,8.0000,102.7016,12.8377,-2937072480112140162641446652140847104.0000,FB,30.0000,1,125.9600,0.3000,102.2016,0.3000,23.7584,10.7339,1035.9884,15.9337
107,-1101904651095163094766298886916014080.0000,-1101904651095163094766298886916014080.0000,0.0000,0.0000,0.0000,9113553951748238359791891951506161664.0000,CP,30.0000,1,123.5200,0.3000,0.0000,0.0000,123.8200,10.6037,1013.4458,15.3981
108,3005523160013600912894413285552553984.0000,3005523160013600912894413285552553984.0000,8.0000,100.4768,12.5596,-24819673574463554597066735065455656960.0000,FB,30.0000,1,121.6000,0.3000,99.9768,0.3000,21.6232,10.5013,995.8653,14.9848
